Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v2.x,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,CarON,
"J10, J11, J12, J13, J14, J8, J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,7,Conn_01x02_Socket,
J15,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J16,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J17,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Pin,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Reverse,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Thermistor1,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Thermistor2,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Thermistor3,
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Fotoresistor,
J7,JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical,1,Conn_01x05_Socket,
Q7,SOT-23,1,AO3400A,
"R1, R10, R11, R12, R13, R14, R2, R7, R8, R9",0603,10,1k,
R20,0805,1,220R,
R24,0805,1,10k,
"R3, R4, R5, R6",0603,4,100K,
U1,DIP-4_W7.62mm_LongPads,1,Reverse_Opto,
U2,DIP-4_W7.62mm_LongPads,1,CarON_Opto,
